@relation dataset_normal_10_der
@attribute time_class {'time_0','time_1','time_2','time_3','time_4','time_5','time_6','time_7','time_8','time_9','time_10','time_11','time_12','time_13','time_14','time_15','time_16','time_17','time_18','time_19','time_20','time_21','time_22','time_23'}
@attribute bandwidth_0 numeric
@attribute d_bandwidth_0 numeric
@attribute bandwidth_1 numeric
@attribute d_bandwidth_1 numeric
@attribute bandwidth_2 numeric
@attribute d_bandwidth_2 numeric
@attribute bandwidth_3 numeric
@attribute d_bandwidth_3 numeric
@attribute bandwidth_4 numeric
@attribute prediction_class {'byte_500','byte_1000','byte_1500','byte_2000','byte_2500','byte_3000','byte_3500','byte_4000','byte_4500','byte_5000','byte_5500','byte_6000','byte_6500','byte_7000','byte_7500','byte_8000','byte_8500','byte_9000','byte_9500','byte_10000'}
@data
'time_0',649,0,0,56816,56816,-56633,183,76081,76264,'byte_10000'
'time_0',0,-19448,56816,-56633,183,76081,76264,-63459,12805,'byte_10000'
'time_0',56816,-12622,183,76081,76264,-63459,12805,16634,29439,'byte_10000'
'time_0',183,46825,76264,-63459,12805,16634,29439,3048,32487,'byte_10000'
'time_0',76264,-19682,12805,16634,29439,3048,32487,26297,58784,'byte_10000'
'time_0',12805,-29345,29439,3048,32487,26297,58784,-35761,23023,'byte_10000'
'time_1',29439,9464,32487,26297,58784,-35761,23023,14923,37946,'byte_10000'
'time_1',32487,20838,58784,-35761,23023,14923,37946,-8417,29529,'byte_10000'
'time_1',58784,-6506,23023,14923,37946,-8417,29529,35204,64733,'byte_10000'
'time_1',23023,-26787,37946,-8417,29529,35204,64733,-6413,58320,'byte_500'
'time_1',37946,-28791,29529,35204,64733,-6413,58320,-58123,197,'byte_10000'
'time_1',29529,64536,64733,-6413,58320,-58123,197,28926,29123,'byte_500'
'time_2',64733,29197,58320,-58123,197,28926,29123,-29009,114,'byte_500'
'time_2',58320,83,197,28926,29123,-29009,114,-51,63,'byte_10000'
'time_2',197,29060,29123,-29009,114,-51,63,29129,29192,'byte_500'
'time_2',29123,-29078,114,-51,63,29129,29192,-29061,131,'byte_10000'
'time_2',114,-68,63,29129,29192,-29061,131,29323,29454,'byte_10000'
'time_2',63,-262,29192,-29061,131,29323,29454,2471,31925,'byte_10000'
'time_3',29192,-31794,131,29323,29454,2471,31925,-2630,29295,'byte_500'
'time_3',131,159,29454,2471,31925,-2630,29295,-29295,0,'byte_10000'
'time_3',29454,31925,31925,-2630,29295,-29295,0,64436,64436,'byte_500'
'time_3',31925,-35141,29295,-29295,0,64436,64436,-64436,0,'byte_10000'
'time_3',29295,0,0,64436,64436,-64436,0,32224,32224,'byte_500'
'time_4',0,32212,64436,-64436,0,32224,32224,-32224,0,'byte_10000'
'time_4',64436,0,0,32224,32224,-32224,0,29295,29295,'byte_500'
'time_4',0,2929,32224,-32224,0,29295,29295,-29295,0,'byte_500'
'time_4',32224,0,0,29295,29295,-29295,0,0,0,'byte_500'
'time_4',0,29295,29295,-29295,0,0,0,0,0,'byte_500'
'time_4',29295,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_5',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_500'
'time_6',0,0,0,0,0,0,0,0,0,'byte_10000'
'time_6',0,0,0,0,0,0,0,29295,29295,'byte_500'
'time_7',0,-29295,0,0,0,29295,29295,-29295,0,'byte_10000'
'time_7',0,0,0,29295,29295,-29295,0,32218,32218,'byte_500'
'time_7',0,-2923,29295,-29295,0,32218,32218,-32218,0,'byte_500'
'time_7',29295,0,0,32218,32218,-32218,0,0,0,'byte_500'
'time_7',0,32218,32218,-32218,0,0,0,0,0,'byte_10000'
'time_8',32218,0,0,0,0,0,0,29289,29289,'byte_500'
